iter	Passed	Remaining
0	1	1104
1	6	3044
2	10	3408
3	12	3109
4	14	2857
5	17	2893
6	18	2662
7	21	2610
8	22	2480
9	25	2476
10	27	2479
11	29	2418
12	31	2427
13	34	2451
14	36	2421
15	38	2357
16	40	2340
17	42	2307
18	47	2453
19	53	2641
20	57	2669
21	59	2638
22	61	2609
23	63	2582
24	66	2589
25	68	2570
26	70	2541
27	72	2533
28	76	2550
29	82	2667
30	83	2622
31	84	2553
32	85	2517
33	91	2611
34	92	2563
35	105	2838
36	108	2813
37	108	2755
38	109	2707
39	115	2769
40	116	2724
41	121	2779
42	124	2777
43	133	2893
44	135	2882
45	137	2855
46	140	2855
47	141	2814
48	143	2776
49	144	2741
50	145	2706
51	148	2698
52	149	2677
53	153	2684
54	158	2729
55	160	2706
56	163	2705
57	167	2712
58	170	2717
59	171	2685
60	173	2670
61	174	2644
62	175	2609
63	176	2584
64	177	2558
65	184	2611
66	186	2593
67	187	2567
68	191	2587
69	192	2562
70	193	2532
71	194	2512
72	196	2490
73	197	2469
74	198	2447
75	199	2430
76	201	2411
77	202	2390
78	203	2370
79	204	2351
80	205	2334
81	207	2323
82	211	2333
83	213	2327
84	216	2326
85	218	2318
86	220	2317
87	222	2309
88	224	2301
89	227	2299
90	229	2288
91	232	2295
92	233	2278
93	234	2261
94	235	2245
95	256	2414
96	258	2402
97	259	2384
98	259	2361
99	260	2344
100	261	2327
101	262	2311
102	269	2344
103	271	2336
104	272	2321
105	275	2321
106	276	2306
107	277	2292
108	279	2281
109	280	2266
110	281	2253
111	282	2239
112	283	2225
113	284	2213
114	285	2199
115	288	2201
116	290	2190
117	291	2176
118	292	2163
119	293	2150
120	294	2138
121	295	2126
122	296	2113
123	297	2103
124	299	2093
125	300	2083
126	303	2089
127	305	2080
128	306	2070
129	307	2058
130	309	2050
131	311	2045
132	312	2035
133	313	2024
134	314	2014
135	315	2004
136	317	1999
137	319	1998
138	324	2010
139	328	2016
140	329	2005
141	330	1996
142	331	1986
143	332	1978
144	334	1974
145	336	1967
146	338	1965
147	339	1953
148	340	1945
149	341	1935
150	342	1927
151	344	1923
152	347	1921
153	348	1914
154	349	1907
155	351	1899
156	352	1891
157	353	1882
158	354	1876
159	356	1869
160	357	1861
161	358	1852
162	359	1845
163	360	1839
164	362	1833
165	364	1829
166	365	1824
167	367	1818
168	368	1811
169	369	1803
170	370	1796
171	371	1790
172	373	1784
173	374	1776
174	375	1770
175	376	1763
176	377	1757
177	378	1749
178	380	1744
179	381	1738
180	383	1736
181	385	1731
182	386	1725
183	387	1718
184	388	1713
185	390	1707
186	391	1702
187	393	1700
188	395	1696
189	396	1691
190	399	1692
191	401	1689
192	402	1683
193	403	1677
194	405	1674
195	412	1690
196	414	1689
197	415	1682
198	416	1676
199	417	1670
200	419	1668
201	420	1662
202	422	1660
203	423	1654
204	425	1649
205	426	1645
206	428	1641
207	429	1636
208	430	1631
209	432	1625
210	433	1620
211	434	1614
212	436	1611
213	437	1605
214	438	1600
215	442	1604
216	445	1607
217	447	1604
218	450	1605
219	451	1600
220	452	1594
221	454	1593
222	455	1588
223	457	1583
224	458	1579
225	459	1574
226	462	1573
227	465	1575
228	466	1569
229	467	1564
230	471	1568
231	472	1565
232	474	1561
233	475	1555
234	476	1551
235	477	1546
236	491	1581
237	492	1576
238	493	1571
239	494	1565
240	498	1568
241	500	1568
242	501	1563
243	508	1575
244	509	1570
245	512	1569
246	516	1576
247	520	1579
248	524	1581
249	525	1577
250	526	1572
251	528	1568
252	529	1564
253	530	1559
254	532	1554
255	533	1549
256	534	1544
257	535	1539
258	537	1537
259	538	1532
260	539	1527
261	540	1523
262	541	1517
263	542	1512
264	546	1514
265	547	1509
266	548	1504
267	549	1500
268	550	1496
269	551	1492
270	552	1487
271	554	1483
272	555	1478
273	557	1476
274	558	1471
275	559	1467
276	561	1464
277	563	1462
278	564	1457
279	565	1453
280	566	1448
281	571	1453
282	573	1452
283	578	1457
284	579	1453
285	581	1451
286	583	1448
287	584	1444
288	585	1439
289	586	1435
290	588	1432
291	589	1428
292	589	1423
293	593	1426
294	595	1424
295	596	1419
296	600	1421
297	601	1417
298	603	1413
299	604	1410
300	605	1406
301	606	1402
302	607	1397
303	608	1393
304	609	1389
305	611	1385
306	612	1382
307	613	1377
308	615	1375
309	616	1371
310	617	1368
311	618	1364
312	620	1361
313	621	1358
314	623	1354
315	624	1351
316	626	1349
317	627	1345
318	628	1341
319	629	1338
320	631	1335
321	632	1331
322	635	1330
323	636	1327
324	637	1324
325	640	1323
326	642	1321
327	643	1317
328	648	1322
329	652	1325
330	657	1329
331	658	1325
332	660	1322
333	662	1320
334	663	1317
335	665	1315
336	667	1312
337	669	1311
338	671	1309
339	672	1306
340	674	1303
341	675	1300
342	681	1305
343	684	1305
344	688	1308
345	690	1304
346	692	1303
347	696	1304
348	698	1302
349	703	1307
