iter	Passed	Remaining
0	3	1610
1	5	1477
2	8	1394
3	11	1378
4	15	1565
5	19	1631
6	23	1684
7	30	1878
8	34	1898
9	37	1853
10	40	1819
11	44	1796
12	47	1768
13	49	1724
14	52	1695
15	55	1671
16	58	1660
17	63	1687
18	65	1669
19	68	1653
20	71	1635
21	74	1618
22	77	1610
23	80	1606
24	83	1593
25	86	1582
26	89	1568
27	92	1565
28	95	1556
29	98	1544
30	101	1534
31	104	1523
32	107	1528
33	111	1531
34	114	1522
35	117	1519
36	120	1507
37	123	1498
38	126	1496
39	129	1492
40	132	1487
41	135	1480
42	138	1473
43	141	1468
44	144	1465
45	148	1461
46	151	1458
47	154	1455
48	157	1450
49	160	1442
50	163	1439
51	165	1429
52	168	1423
53	171	1413
54	174	1410
55	177	1405
56	183	1428
57	186	1424
58	191	1434
59	194	1426
60	197	1419
61	199	1412
62	203	1408
63	205	1401
64	208	1397
65	211	1391
66	214	1388
67	217	1383
68	220	1377
69	223	1372
70	227	1376
71	230	1371
72	234	1373
73	240	1385
74	245	1390
75	247	1383
76	250	1377
77	254	1375
78	259	1380
79	262	1376
80	265	1371
81	268	1367
82	271	1363
83	274	1359
84	277	1352
85	280	1349
86	283	1343
87	285	1338
88	288	1331
89	290	1325
90	293	1320
91	296	1313
92	298	1306
93	300	1300
94	303	1294
95	306	1289
96	309	1286
97	312	1282
98	315	1277
99	319	1279
100	323	1276
101	325	1271
102	328	1265
103	330	1259
104	333	1254
105	336	1250
106	339	1248
107	342	1242
108	344	1236
109	351	1244
110	356	1251
111	359	1246
112	363	1243
113	365	1239
114	369	1236
115	374	1238
116	377	1234
117	380	1231
118	383	1227
119	386	1223
120	390	1221
121	393	1218
122	396	1213
123	398	1208
124	401	1204
125	404	1201
126	407	1197
127	410	1192
128	413	1188
129	416	1184
130	422	1189
131	424	1184
132	427	1179
133	429	1173
134	432	1168
135	435	1164
136	437	1160
137	440	1154
138	443	1150
139	446	1147
140	449	1143
141	453	1143
142	456	1139
143	458	1134
144	461	1130
145	466	1131
146	469	1127
147	472	1123
148	475	1120
149	477	1114
150	480	1110
151	483	1106
152	486	1102
153	489	1098
154	491	1094
155	494	1091
156	497	1087
157	501	1084
158	503	1079
159	505	1075
160	508	1071
161	511	1068
162	514	1064
163	517	1059
164	519	1055
165	522	1051
166	525	1048
167	528	1044
168	531	1040
169	534	1037
170	537	1034
171	540	1030
172	543	1028
173	546	1023
174	550	1021
175	552	1017
176	556	1015
177	559	1011
178	561	1007
179	564	1003
180	567	999
181	569	995
182	572	992
183	575	988
184	578	985
185	582	982
186	587	982
187	591	981
188	599	985
189	606	988
190	613	991
191	618	991
192	622	989
193	626	988
194	629	983
195	632	980
196	635	977
197	638	973
198	641	970
199	644	967
200	647	963
201	651	961
202	654	957
203	657	954
204	663	954
205	666	951
206	669	947
207	672	943
208	674	939
209	678	936
210	681	933
211	684	929
212	687	926
213	690	922
214	694	920
215	697	917
216	700	913
217	702	909
218	705	905
219	709	902
220	712	898
221	714	895
222	717	891
223	720	887
224	726	887
225	729	883
226	731	880
227	736	878
228	741	877
229	744	873
230	747	870
231	750	867
232	753	863
233	756	859
234	758	855
235	761	852
236	764	848
237	767	844
238	769	840
239	772	837
240	775	833
241	779	830
242	783	829
243	788	827
244	793	825
245	800	826
246	803	822
247	806	819
248	809	816
249	812	812
250	815	808
251	821	808
252	826	806
253	828	802
254	834	801
255	839	800
256	843	797
257	846	793
258	849	790
259	851	786
260	855	782
261	857	779
262	860	775
263	863	772
264	866	768
265	873	768
266	879	767
267	881	763
268	884	759
269	887	755
270	891	753
271	894	749
272	897	746
273	902	744
274	904	740
275	907	736
276	910	733
277	913	729
278	916	725
279	918	721
280	921	718
281	923	714
282	926	710
283	929	707
284	932	703
285	935	700
286	938	696
287	940	692
288	945	690
289	948	686
290	950	682
291	953	679
292	956	675
293	959	672
294	962	668
295	964	665
296	967	661
297	969	657
298	972	653
299	974	649
300	978	647
301	981	643
302	984	639
303	988	637
304	991	634
305	997	632
306	1000	628
307	1002	625
308	1005	621
309	1008	618
310	1011	615
311	1014	611
312	1017	607
313	1019	604
314	1022	600
315	1025	596
316	1028	593
317	1031	590
318	1034	586
319	1037	583
320	1040	580
321	1043	577
322	1046	573
323	1049	570
324	1055	568
325	1058	564
326	1063	562
327	1067	559
328	1070	556
329	1073	553
330	1079	551
331	1082	547
332	1085	544
333	1088	540
334	1094	539
335	1099	536
336	1102	533
337	1106	530
338	1109	527
339	1113	523
340	1120	522
341	1126	520
342	1129	516
343	1132	513
344	1135	510
345	1139	507
346	1143	504
347	1148	501
348	1154	499
349	1159	496
350	1162	493
351	1165	490
352	1168	486
353	1173	483
354	1176	480
355	1180	477
356	1182	473
357	1185	470
358	1188	466
359	1191	463
360	1194	460
361	1197	456
362	1200	453
363	1203	449
364	1206	446
365	1211	443
366	1217	441
367	1223	438
368	1229	436
369	1232	432
370	1235	429
371	1238	426
372	1241	422
373	1244	419
374	1247	415
375	1250	412
376	1252	408
377	1255	405
378	1257	401
379	1260	398
380	1263	394
381	1266	391
382	1269	387
383	1272	384
384	1275	380
385	1277	377
386	1283	374
387	1287	371
388	1289	368
389	1292	364
390	1295	361
391	1298	357
392	1301	354
393	1305	351
394	1310	348
395	1314	345
396	1317	341
397	1321	338
398	1325	335
399	1328	332
400	1331	328
401	1335	325
402	1340	322
403	1347	320
404	1351	317
405	1355	313
406	1358	310
407	1362	307
408	1369	304
409	1372	301
410	1375	297
411	1378	294
412	1381	291
413	1385	287
414	1388	284
415	1391	281
416	1395	277
417	1400	274
418	1406	271
419	1412	268
420	1419	266
421	1423	263
422	1426	259
423	1430	256
424	1435	253
425	1437	249
426	1441	246
427	1444	242
428	1446	239
429	1452	236
430	1457	233
431	1461	230
432	1464	226
433	1468	223
434	1471	219
435	1474	216
436	1478	213
437	1481	209
438	1485	206
439	1488	203
440	1491	199
441	1495	196
442	1498	192
443	1502	189
444	1506	186
445	1508	182
446	1512	179
447	1515	175
448	1519	172
449	1523	169
450	1527	165
451	1532	162
452	1536	159
453	1540	156
454	1543	152
455	1546	149
456	1550	145
457	1557	142
458	1562	139
459	1570	136
460	1573	133
461	1577	129
462	1580	126
463	1585	122
464	1591	119
465	1594	116
466	1597	112
467	1600	109
468	1603	105
469	1607	102
470	1611	99
471	1614	95
472	1618	92
473	1621	88
474	1624	85
475	1627	82
476	1631	78
477	1634	75
478	1637	71
479	1640	68
480	1643	64
481	1647	61
482	1653	58
483	1657	54
484	1661	51
485	1664	47
486	1667	44
487	1671	41
488	1674	37
489	1679	34
490	1684	30
491	1688	27
492	1696	24
493	1699	20
494	1702	17
495	1706	13
496	1713	10
497	1717	6
498	1720	3
499	1723	0
